category,match,slot,text
0,2,0,yes dog. yeah . fast and furious. too fas. haha. sad
0,2,2,no idiot. we too pro. lol
1,2,4,HAHAH. COMMEND ME TY. EZ
1,6,0,so ya mama likes dick ehh?. figures. ur not even a good hooker kid. passive shadow blade?. gg
1,6,1,reprot. SAD. fucking reported axe. WORST HOOK IN HISTORY. YOU THOUGHT. IM THE #1 ROAMER NA. STUPIDD PIUDGE. STUPID!. nice ult medusa. commended. DOWNYS  GET DUMKED. ez game. Ty ty . SOOO EZQ!!. COMMEND ME!. COMMAND ME!!
0,6,3,gg
0,6,4,axe is axe
0,6,8,sorry nex. i killed u . almost . gg
0,8,6,PUSH. not defending. dodger lc. swap commend ty. swap commend ty
1,9,3,what. jeje fAM. free farming ls. not coming into play. let end. storm fat yet. zZZ. ok. U useless anyways. does it matter. 30mins in. cant seem to hit a singel call. ROFL. still didnt hirt. Aha. better share hero contorl. to someone else. might start hitting ur Q. ROFL. fuckING. Retard. yea. he had an. amazing blast laen. at mid. 20mins scythe on od. Yet my . LS . wants to farm. His orchid. Die btich. oh. my god. oh my god. oh. My. Fucking god
0,9,4,heartshaker. man that silence on axe. Gg
1,9,5,YEAH. WELL PLAYED. GEGE GUYS. HAHAHAHAHA. SAD. Y. CLASH. ZZZ. u lost 4v4. YEAH. DO I CARE. ROFL. CALL YOUR MOM. YOU BETTER CALL YOUR MOM OD. U NEED HER BREASTFEED. ?. Q?. WHATS Q. I DONT KNOW Q BRUH?. I PLAY LEGACY. u play LOL. GG. END. END. EHND. SADSADNSADSA. DSAD. GET BACK. OD. PLS. I GOT YOU. NO CALL. NO LOAD. WER R U OD
0,13,0,wp. fuckkk youuuuu. ty pudge
0,17,1,drow . remember me last game. haha. waot. haha
0,17,3,Ec. haha. nca game. commend me
0,19,6,????. xd. so good game. 3 griefers on my team. xd. xDDDD. 3 griefers vs ti finals tryhards. yes. good game was had
0,21,9,WELL PLAYED SHIT CUNTS
0,22,1,feed me. go bot. please dont be a trap. EE SAMA IS HERE
0,22,6,happy no cour day . i will . sure. no trap . only me . lol. EE 
0,24,2,480 ping. ok. again and again.... for farming a lot. goldback ? xD
1,31,3,stupid medusa. FUCKING MEDUSA. NICE. FORCESTAFF. ASSHOLE. this game. will be a year ender. this will be the last game played in 2017. and i got 500 ping. happy new year
1,32,9,?. WIND REPROTED. aLIEN HERE. LOL I WAS DIENG SO?. help report wind ty. pasive thrd . 4 heros were stick. Axe call one. Alien spoted. passive heross here. lol. me mid me  carry. pls pic ksupport. help reprt wind. ty
1,33,9,gg. i go afk. all report tinker. plz. he is troller. that team. commend me
1,35,8,gg wp . because u have blink 
0,36,0,"this is kotl from last game, can you just let us finish?"
0,36,2,never give up
1,38,5,end. can't win with wr support and invoker offlane. report this invoker
1,40,0,DANCE. gg. fking clock. talking more. ez dog. otak cibai. lancau. pro clock. haha
1,40,2,end fast. SLOW HAND TINKER. GG CAL. AAAHA. AHAHA. LMAO. it definitely is gg. sf def?. AHAHA. GGWP
0,40,4,bro. U CAN. SEE AXE?. CALL?. gg
1,40,6,die idoot. divine for the win. so noob. fucker. Tk. ahahaha. so sad. triggerd. rep[ort jugg. ty. ez. just erport this jugg. ty. gg
0,43,3,what's happening boyz ?. as you can see we are waiting . :D. I am just asking what happened. <3. how many more x3 mins do we have to wait. :D. BOI. you don't know how time works. look. you will have more gold if he leaves. If I roll a one. WE GO. izi. +. now you are lucky. :D. naah we ain't. :D. gg wp
1,45,8,TY. report sf and lycan. retard take lycan for hard . second rtard lose lane with help. just end. dont forget report lycan and sf. next game can come to yours team. end. im afk. k. da ti raq. nahuy spamiw twitch
1,48,1,End. gg mid. mana shield lvl 1. What a noob dogh. Dont wow me. my team just noob. haha. emd. end. wp
0,48,5,wow !. hahaha. chill dude. why so hot headed. I've been there. just by looking at your set you are pro dude. hahaha. ahahahahaha. ggwp
1,50,4,lolol. 150 bashes. fucking dogs. ez. game
1,52,3,yes when u die 21 timkes. times. idiot. bristle. report. 21 death. is it olympic games?. +. GG. report bristle
0,53,8,"Ez mid ,ez game. :*"
0,69,4,?. i will commend u sniper if u commend me too. gg
0,71,0,end. woow. comback is real. gg noob
0,71,1,Ez dodge. ez pango. ez . ez. ez
0,71,2,alright alright. xhase ?. @@. omng warding. so whats ur new year resolutioin. like i sid we win 
0,71,4,Can you guys deni mid tower
1,71,5,wait. afk. gg. gg. end . ty. gg carry. report gryo ?. gg. report gryo
1,71,7,now he rolls. END . NEXT GAME. FUCK THIS PANGO. SAVE ROLL FOR NEXT GAME. SEE. LOOK AT HIM. PASSIVE. NOW HE ROLL. AGAIN. IF I KNOW HIM IN REAL LIFE. I WOULD HAVE KILL HIM. FUCKING NOOB PANGO
0,71,9,gg. wow gyro got aghas. end. wombo combo. ez top
0,73,2,report wk. WJAJHHAHAHHA. WTF
0,74,6,GG. Fuck you for playing huskar
1,75,3,g. NOOB team. archon. wtf. end. SAD
0,75,5,dude he rage quit. not coming back. leave la idiot
0,75,7,fuckin axe. fuck. JUGNERNAUTTTTTTT
0,75,9,lol. haha. ez. haha. void ?. u. u can def haha. haha. haha. haha. ggwp
0,76,1,my team. XD. gg
0,76,4,wow. apparently. aggro doesn't switch. the white snow. didn't see shit. XD. wow. right after. great. exactly
0,76,5,and then. right. crucial. QQ
0,76,6,ggwp
0,76,7,fucking axe retard cunt
0,79,4,happy new year
1,79,5,shutup nerd
0,79,7,lag the fuck up
0,79,9,wtf. ok
0,80,0,Ez team
0,80,6,pro huskar. commend
0,81,4,y u do dis. worth?. gg wp
0,82,2,Sekip. mama. u jus. just. passed. then i ded. ok. fair play. why dont u let me run. ok m9. knife in csgo. im csgo player. lets 1v1 in csgo. i bet my ak. TALASO. u just like bara. come . and we ded. GGWP. GLHF. so rude. me pro
1,82,4,stfu. ur a fucking cunt. stfu. lucky u. stom pro. u fucking noob. so am i lol. by 1?. yah ur pussy eater my boi
1,82,5,skrra. dat lich 2 kd ratio. called storm spirit m9. 1v1 me on rust. lel. u got fukked. Support my ass senpai. Ima out to fuck. kek ur so gey. 2 carries to take down a fukkin support. Nice. I am a frost skelly. who u tellin to chill nibba. miss me with that gay shit. I love being rude. kewl. but was all. a trick. KEKIUS MAXIMUS. HIPPITY HOPPITY GET OFF MAH PROPERTY. You got hulk and we got storm spirit. wyd. Oi. called out. Oh. How tragic. 2-10. ding dong ur opinion is wrong. kewl you still are 2-10. and I am a support. No you not?. You a farmer my boi. <3. I am. Skeleton pussy. OI. Ting go skrra. Ayy u got fukked
0,82,7,WHO IS BEING A MEME. GGWP. EZ
0,83,2,We from Makedonia? 
1,83,5,stop pause  idiot. omg. stupide kids
1,83,6,well if you remuse it will be uncount map. ??? lol now pause. just remake. this trash russian. why not pause at first ???. ???????. haha russian. Worst country of the world. hey dog russians. cant win without cheating ?. russian has their own server. dont lie. bullshit. kid. trash russian. hey DOG WK . SAY STH ?. Bark sth plz. hey dog . plz bark. is that dog knows only barking ?. Did you mother fuck a dog to born you. russian tradition ?. fuck dog to born ?. why all russian are so dirty player. your country shame on you. poor kids. no barking ?. common dog must bark. BARK MY DOG. a dog cant bark . that Russian dog. sad this dog . Cant even bark to make fun. hahah NOOB DOG. sad . a dog cant bark and no brain. So all russian are same like you. Hey BARKKKKKKK. ohhh Dog die. haha dog barkkk plz. hahaha. ohhhh . Dont kill the dog. go fuck yourself xD bye bye dog. wait long  time no barking 
